commodity,marketing_year,crop_year,quarter,quarter_label,quarter_start,quarter_end,stock_date,prev_stock_date,beginning_stocks_mbu,ending_stocks_mbu,production_added_mbu,total_disappearance_mbu,ethanol_use_mbu,other_fsi_use_mbu,exports_mbu,export_inspections_mbu,soybean_crush_mbu,known_non_feed_use_mbu,residual_after_known_uses_mbu,feed_residual_implied_mbu,wasde_feed_residual_annual_mbu,coverage_status,source
CORN,2014/15,2014,3,Q3 Mar-May,2015-03-01,2015-06-01,2015-06-01,2015-03-01,7749.806,4452.988,0.0,3296.8179999999993,1294.531,164.79500000000002,,,,1459.326,1837.4919999999993,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2014/15,2014,4,Q4 Jun-Aug,2015-06-01,2015-09-01,2015-09-01,2015-06-01,4452.988,1731.164,0.0,2721.8240000000005,1335.39,157.166,,,,1492.556,1229.2680000000005,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2015/16,2015,1,Q1 Sep-Nov,2015-09-01,2015-12-01,2015-12-01,2015-09-01,1731.164,11235.178,13601.964,4097.950000000001,1300.202,152.21,,,,1452.412,2645.5380000000005,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2015/16,2015,2,Q2 Dec-Feb,2015-12-01,2016-03-01,2016-03-01,2015-12-01,11235.178,7822.233,0.0,3412.9449999999997,1316.279,150.308,,,,1466.587,1946.3579999999997,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2015/16,2015,3,Q3 Mar-May,2016-03-01,2016-06-01,2016-06-01,2016-03-01,7822.233,4711.079,0.0,3111.1540000000005,1264.796,158.747,,,,1423.5430000000001,1687.6110000000003,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2015/16,2015,4,Q4 Jun-Aug,2016-06-01,2016-09-01,2016-09-01,2016-06-01,4711.079,1737.058,0.0,2974.0209999999997,1342.337,156.096,,,,1498.433,1475.5879999999997,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2016/17,2016,1,Q1 Sep-Nov,2016-09-01,2016-12-01,2016-12-01,2016-09-01,1737.058,12383.471,15148.038,4501.625000000002,1343.078,111.81199999999998,,,,1454.8899999999999,3046.735000000002,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2016/17,2016,2,Q2 Dec-Feb,2016-12-01,2017-03-01,2017-03-01,2016-12-01,12383.471,8621.992,0.0,3761.4789999999994,1371.212,154.713,,,,1525.925,2235.553999999999,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2016/17,2016,3,Q3 Mar-May,2017-03-01,2017-06-01,2017-06-01,2017-03-01,8621.992,5229.082,0.0,3392.91,1346.101,165.14100000000002,,,,1511.2420000000002,1881.6679999999997,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2016/17,2016,4,Q4 Jun-Aug,2017-06-01,2017-09-01,2017-09-01,2017-06-01,5229.082,2293.303,0.0,2935.7790000000005,1371.562,162.095,,,,1533.657,1402.1220000000005,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2017/18,2017,1,Q1 Sep-Nov,2017-09-01,2017-12-01,2017-12-01,2017-09-01,2293.303,12566.501,14609.407,4336.208999999999,1391.29,154.628,,,,1545.918,2790.2909999999993,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2017/18,2017,2,Q2 Dec-Feb,2017-12-01,2018-03-01,2018-03-01,2017-12-01,12566.501,8892.126,0.0,3674.375,1397.4640000000002,148.46099999999998,,,,1545.9250000000002,2128.45,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2017/18,2017,3,Q3 Mar-May,2018-03-01,2018-06-01,2018-06-01,2018-03-01,8892.126,5304.804,0.0,3587.322,1388.639,160.15,,,,1548.789,2038.5330000000001,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2017/18,2017,4,Q4 Jun-Aug,2018-06-01,2018-09-01,2018-09-01,2018-06-01,5304.804,2140.335,0.0,3164.469,1427.434,164.94,,,,1592.374,1572.095,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2018/19,2018,1,Q1 Sep-Nov,2018-09-01,2018-12-01,2018-12-01,2018-09-01,2140.335,12286.508,14321.674,4175.501000000002,1365.7040000000002,151.334,,,,1517.0380000000002,2658.4630000000016,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2018/19,2018,2,Q2 Dec-Feb,2018-12-01,2019-03-01,2019-03-01,2018-12-01,12286.508,8835.335,0.0,3451.1730000000007,1308.554,145.333,,,,1453.8870000000002,1997.2860000000005,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2018/19,2018,3,Q3 Mar-May,2019-03-01,2019-06-01,2019-06-01,2019-03-01,8835.335,5363.535,0.0,3471.7999999999993,1341.922,161.79399999999998,,,,1503.716,1968.0839999999994,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2018/19,2018,4,Q4 Jun-Aug,2019-06-01,2019-09-01,2019-09-01,2019-06-01,5363.535,2237.008,0.0,3126.527,1361.846,162.89600000000002,,,,1524.742,1601.785,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2019/20,2019,1,Q1 Sep-Nov,2019-09-01,2019-12-01,2019-12-01,2019-09-01,2237.008,11820.322,13568.306,3984.992,1301.461,147.443,,,,1448.904,2536.088,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2019/20,2019,2,Q2 Dec-Feb,2019-12-01,2020-03-01,2020-03-01,2019-12-01,11820.322,8299.381,0.0,3520.9410000000007,1382.6390000000001,148.561,,,,1531.2,1989.7410000000007,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2019/20,2019,3,Q3 Mar-May,2020-03-01,2020-06-01,2020-06-01,2020-03-01,8299.381,5237.19,0.0,3062.191,957.969,162.673,,,,1120.642,1941.5489999999998,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2019/20,2019,4,Q4 Jun-Aug,2020-06-01,2020-09-01,2020-09-01,2020-06-01,5237.19,2004.354,0.0,3232.8359999999993,1214.606,156.68,,,,1371.286,1861.5499999999993,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2020/21,2020,1,Q1 Sep-Nov,2020-09-01,2020-12-01,2020-12-01,2020-09-01,2004.354,11816.985,14086.699,4274.067999999999,1268.235,146.644,,,,1414.879,2859.1889999999994,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2020/21,2020,2,Q2 Dec-Feb,2020-12-01,2021-03-01,2021-03-01,2020-12-01,11816.985,7806.778,0.0,4010.2070000000003,1177.317,141.36,,,,1318.6770000000001,2691.53,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2020/21,2020,3,Q3 Mar-May,2021-03-01,2021-06-01,2021-06-01,2021-03-01,7806.778,4111.181,0.0,3695.5970000000007,1275.464,162.371,,,,1437.835,2257.7620000000006,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2020/21,2020,4,Q4 Jun-Aug,2021-06-01,2021-09-01,2021-09-01,2021-06-01,4111.181,1234.512,0.0,2876.669,1306.579,158.292,,,,1464.8709999999999,1411.798,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2021/22,2021,1,Q1 Sep-Nov,2021-09-01,2021-12-01,2021-12-01,2021-09-01,1234.512,11631.181,15017.788,4621.119000000001,1342.134,153.219,,,,1495.353,3125.7660000000005,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2021/22,2021,2,Q2 Dec-Feb,2021-12-01,2022-03-01,2022-03-01,2021-12-01,11631.181,7757.036,0.0,3874.1450000000004,1344.9180000000001,155.968,,,,1500.8860000000002,2373.259,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2021/22,2021,3,Q3 Mar-May,2022-03-01,2022-06-01,2022-06-01,2022-03-01,7757.036,4348.968,0.0,3408.068,1312.286,170.127,,,,1482.413,1925.6550000000002,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2021/22,2021,4,Q4 Jun-Aug,2022-06-01,2022-09-01,2022-09-01,2022-06-01,4348.968,1376.89,0.0,2972.0779999999995,1320.277,156.619,,,,1476.896,1495.1819999999996,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2022/23,2022,1,Q1 Sep-Nov,2022-09-01,2022-12-01,2022-12-01,2022-09-01,1376.89,10813.207,13650.531,4214.214,1282.424,157.78,,,,1440.204,2774.01,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2022/23,2022,2,Q2 Dec-Feb,2022-12-01,2023-03-01,2023-03-01,2022-12-01,10813.207,7396.403,0.0,3416.804,1265.6,143.414,,,,1409.014,2007.7900000000002,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2022/23,2022,3,Q3 Mar-May,2023-03-01,2023-06-01,2023-06-01,2023-03-01,7396.403,4103.309,0.0,3293.094,1288.785,158.226,,,,1447.011,1846.083,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2022/23,2022,4,Q4 Jun-Aug,2023-06-01,2023-09-01,2023-09-01,2023-06-01,4103.309,1360.201,0.0,2743.108,1338.8429999999998,148.203,,,,1487.0459999999998,1256.0620000000004,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2023/24,2023,1,Q1 Sep-Nov,2023-09-01,2023-12-01,2023-12-01,2023-09-01,1360.201,12171.163,15340.52,4529.558000000001,1347.9279999999999,147.287,,,,1495.215,3034.3430000000008,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2023/24,2023,2,Q2 Dec-Feb,2023-12-01,2024-03-01,2024-03-01,2023-12-01,12171.163,8352.378,0.0,3818.785,1374.65,141.602,,,,1516.2520000000002,2302.5329999999994,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2023/24,2023,3,Q3 Mar-May,2024-03-01,2024-06-01,2024-06-01,2024-03-01,8352.378,4997.048,0.0,3355.330000000001,1354.237,156.18800000000002,,,,1510.4250000000002,1844.9050000000007,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2023/24,2023,4,Q4 Jun-Aug,2024-06-01,2024-09-01,2024-09-01,2024-06-01,4997.048,1763.4,0.0,3233.6479999999997,1411.763,158.939,,,,1570.702,1662.9459999999997,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2024/25,2024,1,Q1 Sep-Nov,2024-09-01,2024-12-01,2024-12-01,2024-09-01,1763.4,12075.407,14891.756,4579.749,1382.5620000000001,148.691,,,,1531.2530000000002,3048.4959999999996,,5454.0,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2024/25,2024,2,Q2 Dec-Feb,2024-12-01,2025-03-01,2025-03-01,2024-12-01,12075.407,8147.437,0.0,3927.9699999999993,1369.1200000000001,137.36,,,,1506.48,2421.4899999999993,,5454.0,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2024/25,2024,3,Q3 Mar-May,2025-03-01,2025-06-01,2025-06-01,2025-03-01,8147.437,4642.894,0.0,3504.5429999999997,1320.556,151.88600000000002,,,,1472.442,2032.1009999999997,,5454.0,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2024/25,2024,4,Q4 Jun-Aug,2025-06-01,2025-09-01,2025-09-01,2025-06-01,4642.894,1551.286,0.0,3091.608,1368.224,148.208,,,,1516.432,1575.1760000000002,,5454.0,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2025/26,2025,1,Q1 Sep-Nov,2025-09-01,2025-12-01,2025-12-01,2025-09-01,1551.286,13305.825,17020.549,5266.009999999998,1374.8519999999999,140.11599999999999,,,,1514.9679999999998,3751.0419999999986,,6200.0,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2025/26,2025,2,Q2 Dec-Feb,2025-12-01,2026-03-01,2026-03-01,2025-12-01,13305.825,9030.19,0.0,4275.635,1375.271,134.686,,,,1509.9569999999999,2765.6780000000003,,6200.0,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
CORN,2025/26,2025,3,Q3 Mar-May,2026-03-01,2026-06-01,2026-06-01,2026-03-01,9030.19,5294.828,0.0,3735.362,1376.7089999999998,150.85399999999998,,,,1527.5629999999999,2207.799,,6200.0,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2014/15,2014,3,Q3 Mar-May,2015-03-01,2015-06-01,2015-06-01,2015-03-01,1326.599,627.068,0.0,699.531,,,,,156.0774,156.0774,543.4535999999999,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2014/15,2014,4,Q4 Jun-Aug,2015-06-01,2015-09-01,2015-09-01,2015-06-01,627.068,190.61,0.0,436.45799999999997,,,,,451.9788,451.9788,-15.520800000000008,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2015/16,2015,1,Q1 Sep-Nov,2015-09-01,2015-12-01,2015-12-01,2015-09-01,190.61,2714.077,3926.779,1403.312,,,,,470.4813333333333,470.4813333333333,932.8306666666666,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2015/16,2015,2,Q2 Dec-Feb,2015-12-01,2016-03-01,2016-03-01,2015-12-01,2714.077,1530.906,0.0,1183.1710000000003,,,,,482.1343666666667,482.1343666666667,701.0366333333336,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2015/16,2015,3,Q3 Mar-May,2016-03-01,2016-06-01,2016-06-01,2016-03-01,1530.906,871.781,0.0,659.125,,,,,485.41829999999993,485.41829999999993,173.70670000000007,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2015/16,2015,4,Q4 Jun-Aug,2016-06-01,2016-09-01,2016-09-01,2016-06-01,871.781,196.729,0.0,675.0519999999999,,,,,448.2028,448.2028,226.84919999999988,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2016/17,2016,1,Q1 Sep-Nov,2016-09-01,2016-12-01,2016-12-01,2016-09-01,196.729,2899.056,4296.496,1594.1690000000003,,,,,484.88203333333337,484.88203333333337,1109.286966666667,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2016/17,2016,2,Q2 Dec-Feb,2016-12-01,2017-03-01,2017-03-01,2016-12-01,2899.056,1738.933,0.0,1160.123,,,,,491.7845,491.7845,668.3385000000001,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2016/17,2016,3,Q3 Mar-May,2017-03-01,2017-06-01,2017-06-01,2017-03-01,1738.933,965.856,0.0,773.077,,,,,469.0603666666667,469.0603666666667,304.0166333333333,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2016/17,2016,4,Q4 Jun-Aug,2017-06-01,2017-09-01,2017-09-01,2017-06-01,965.856,301.595,0.0,664.261,,,,,455.4711666666666,455.4711666666666,208.78983333333338,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2017/18,2017,1,Q1 Sep-Nov,2017-09-01,2017-12-01,2017-12-01,2017-09-01,301.595,3160.679,4411.633,1552.549,,,,,494.63553333333334,494.63553333333334,1057.9134666666666,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2017/18,2017,2,Q2 Dec-Feb,2017-12-01,2018-03-01,2018-03-01,2017-12-01,3160.679,2109.303,0.0,1051.3760000000002,,,,,515.9604666666667,515.9604666666667,535.4155333333335,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2017/18,2017,3,Q3 Mar-May,2018-03-01,2018-06-01,2018-06-01,2018-03-01,2109.303,1219.329,0.0,889.9739999999999,,,,,526.2809,526.2809,363.69309999999996,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2017/18,2017,4,Q4 Jun-Aug,2018-06-01,2018-09-01,2018-09-01,2018-06-01,1219.329,438.105,0.0,781.2239999999999,,,,,518.0551,518.0551,263.1688999999999,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2018/19,2018,1,Q1 Sep-Nov,2018-09-01,2018-12-01,2018-12-01,2018-09-01,438.105,3745.825,4428.15,1120.4299999999994,,,,,531.3095333333334,531.3095333333334,589.120466666666,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2018/19,2018,2,Q2 Dec-Feb,2018-12-01,2019-03-01,2019-03-01,2018-12-01,3745.825,2727.069,0.0,1018.7559999999999,,,,,529.6275666666668,529.6275666666668,489.1284333333331,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2018/19,2018,3,Q3 Mar-May,2019-03-01,2019-06-01,2019-06-01,2019-03-01,2727.069,1783.08,0.0,943.989,,,,,516.4227333333333,516.4227333333333,427.5662666666667,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2018/19,2018,4,Q4 Jun-Aug,2019-06-01,2019-09-01,2019-09-01,2019-06-01,1783.08,925.052,0.0,858.0279999999999,,,,,514.6304333333333,514.6304333333333,343.39756666666665,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2019/20,2019,1,Q1 Sep-Nov,2019-09-01,2019-12-01,2019-12-01,2019-09-01,925.052,3252.488,3551.07,1223.6340000000005,,,,,524.1700666666667,524.1700666666667,699.4639333333338,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2019/20,2019,2,Q2 Dec-Feb,2019-12-01,2020-03-01,2020-03-01,2019-12-01,3252.488,2254.882,0.0,997.6059999999998,,,,,548.8151333333333,548.8151333333333,448.7908666666665,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2019/20,2019,3,Q3 Mar-May,2020-03-01,2020-06-01,2020-06-01,2020-03-01,2254.882,1381.394,0.0,873.488,,,,,555.1075333333333,555.1075333333333,318.38046666666673,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2019/20,2019,4,Q4 Jun-Aug,2020-06-01,2020-09-01,2020-09-01,2020-06-01,1381.394,538.541,0.0,842.853,,,,,536.4615000000001,536.4615000000001,306.39149999999984,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2020/21,2020,1,Q1 Sep-Nov,2020-09-01,2020-12-01,2020-12-01,2020-09-01,538.541,2946.74,4216.302,1808.103,,,,,558.6650333333333,558.6650333333333,1249.4379666666669,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2020/21,2020,2,Q2 Dec-Feb,2020-12-01,2021-03-01,2021-03-01,2020-12-01,2946.74,1561.684,0.0,1385.0559999999998,,,,,554.0030666666667,554.0030666666667,831.0529333333332,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2020/21,2020,3,Q3 Mar-May,2021-03-01,2021-06-01,2021-06-01,2021-03-01,1561.684,769.04,0.0,792.644,,,,,531.5797,531.5797,261.0643,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2020/21,2020,4,Q4 Jun-Aug,2021-06-01,2021-09-01,2021-09-01,2021-06-01,769.04,256.979,0.0,512.0609999999999,,,,,496.33686666666665,496.33686666666665,15.72413333333327,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2021/22,2021,1,Q1 Sep-Nov,2021-09-01,2021-12-01,2021-12-01,2021-09-01,256.979,3136.524,4464.492,1584.9470000000006,,,,,551.6891333333333,551.6891333333333,1033.2578666666673,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2021/22,2021,2,Q2 Dec-Feb,2021-12-01,2022-03-01,2022-03-01,2021-12-01,3136.524,1931.817,0.0,1204.7069999999999,,,,,566.9549666666667,566.9549666666667,637.7520333333332,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2021/22,2021,3,Q3 Mar-May,2022-03-01,2022-06-01,2022-06-01,2022-03-01,1931.817,967.525,0.0,964.292,,,,,554.6677,554.6677,409.62430000000006,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2021/22,2021,4,Q4 Jun-Aug,2022-06-01,2022-09-01,2022-09-01,2022-06-01,967.525,274.394,0.0,693.131,,,,,530.5603666666666,530.5603666666666,162.57063333333338,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2022/23,2022,1,Q1 Sep-Nov,2022-09-01,2022-12-01,2022-12-01,2022-09-01,274.394,3021.152,4270.381,1523.6230000000005,,,,,553.8359666666666,553.8359666666666,969.7870333333339,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2022/23,2022,2,Q2 Dec-Feb,2022-12-01,2023-03-01,2023-03-01,2022-12-01,3021.152,1686.632,0.0,1334.52,,,,,555.4651333333334,555.4651333333334,779.0548666666666,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2022/23,2022,3,Q3 Mar-May,2023-03-01,2023-06-01,2023-06-01,2023-03-01,1686.632,796.388,0.0,890.244,,,,,574.2571666666666,574.2571666666666,315.9868333333334,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2022/23,2022,4,Q4 Jun-Aug,2023-06-01,2023-09-01,2023-09-01,2023-06-01,796.388,264.184,0.0,532.204,,,,,528.3795666666666,528.3795666666666,3.8244333333333316,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2023/24,2023,1,Q1 Sep-Nov,2023-09-01,2023-12-01,2023-12-01,2023-09-01,264.184,3000.719,4162.057,1425.522,,,,,576.2441333333334,576.2441333333334,849.2778666666666,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2023/24,2023,2,Q2 Dec-Feb,2023-12-01,2024-03-01,2024-03-01,2023-12-01,3000.719,1844.824,0.0,1155.895,,,,,592.0066999999999,592.0066999999999,563.8883000000001,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2023/24,2023,3,Q3 Mar-May,2024-03-01,2024-06-01,2024-06-01,2024-03-01,1844.824,970.05,0.0,874.7740000000001,,,,,572.7303666666667,572.7303666666667,302.04363333333345,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2023/24,2023,4,Q4 Jun-Aug,2024-06-01,2024-09-01,2024-09-01,2024-06-01,970.05,342.433,0.0,627.617,,,,,544.3219666666666,544.3219666666666,83.29503333333332,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2024/25,2024,1,Q1 Sep-Nov,2024-09-01,2024-12-01,2024-12-01,2024-09-01,342.433,3100.285,4374.228,1616.3760000000002,,,,,612.3274666666666,612.3274666666666,1004.0485333333336,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2024/25,2024,2,Q2 Dec-Feb,2024-12-01,2025-03-01,2025-03-01,2024-12-01,3100.285,1910.924,0.0,1189.3609999999999,,,,,619.8327333333334,619.8327333333334,569.5282666666665,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2024/25,2024,3,Q3 Mar-May,2025-03-01,2025-06-01,2025-06-01,2025-03-01,1910.924,1007.639,0.0,903.285,,,,,612.8432333333334,612.8432333333334,290.4417666666666,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2024/25,2024,4,Q4 Jun-Aug,2025-06-01,2025-09-01,2025-09-01,2025-06-01,1007.639,324.806,0.0,682.8330000000001,,,,,600.1334,600.1334,82.69960000000003,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2025/26,2025,1,Q1 Sep-Nov,2025-09-01,2025-12-01,2025-12-01,2025-09-01,324.806,3287.07,4261.858,1299.5939999999996,,,,,661.8033999999999,661.8033999999999,637.7905999999997,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2025/26,2025,2,Q2 Dec-Feb,2025-12-01,2026-03-01,2026-03-01,2025-12-01,3287.07,2123.249,0.0,1163.8210000000004,,,,,672.0569666666668,672.0569666666668,491.7640333333336,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
SOYBEANS,2025/26,2025,3,Q3 Mar-May,2026-03-01,2026-06-01,2026-06-01,2026-03-01,2123.249,1061.122,0.0,1062.1269999999997,,,,,662.4248666666666,662.4248666666666,399.7021333333331,,,partial: missing other domestic uses and/or exports,NASS Grain Stocks + NASS production
