period,ethanol_production_kbd,ethanol_stocks_kbbl,implied_corn_use_mbu
2010-06-04,839,18309,88.095
2010-06-11,839,18551,88.095
2010-06-18,846,19368,88.83
2010-06-25,832,19499,87.36
2010-07-02,855,19921,89.775
2010-07-09,821,19674,86.205
2010-07-16,836,19877,87.78
2010-07-23,816,19523,85.68
2010-07-30,873,19541,91.665
2010-08-06,866,19343,90.93
2010-08-13,860,19205,90.3
2010-08-20,835,17858,87.675
2010-08-27,856,17562,89.88
2010-09-03,875,17735,91.875
2010-09-10,872,17868,91.56
2010-09-17,850,17506,89.25
2010-09-24,825,17164,86.625
2010-10-01,863,16898,90.615
2010-10-08,877,16365,92.085
2010-10-15,881,16034,92.505
2010-10-22,880,16310,92.4
2010-10-29,865,16349,90.825
2010-11-05,877,16061,92.085
2010-11-12,895,16718,93.975
2010-11-19,891,16802,93.555
2010-11-26,885,17110,92.925
2010-12-03,939,16384,98.595
2010-12-10,937,16717,98.385
2010-12-17,892,16774,93.66
2010-12-24,913,16841,95.865
2010-12-31,904,16858,94.92
2011-01-07,888,17096,93.24
2011-01-14,913,17801,95.865
2011-01-21,922,19037,96.81
2011-01-28,908,18890,95.34
2011-02-04,900,19576,94.5
2011-02-11,893,19576,93.765
2011-02-18,888,19349,93.24
2011-02-25,882,19127,92.61
2011-03-04,883,19873,92.715
2011-03-11,895,19905,93.975
2011-03-18,913,20048,95.865
2011-03-25,903,20092,94.815
2011-04-01,902,20060,94.71
2011-04-08,898,20515,94.29
2011-04-15,856,20091,89.88
2011-04-22,883,19283,92.715
2011-04-29,875,19771,91.875
2011-05-06,862,20439,90.51
2011-05-13,900,20412,94.5
2011-05-20,902,20797,94.71
2011-05-27,909,20227,95.445
2011-06-03,915,19644,96.075
2011-06-10,880,19745,92.4
2011-06-17,901,19509,94.605
2011-06-24,893,19484,93.765
2011-07-01,904,18553,94.92
2011-07-08,872,18775,91.56
2011-07-15,873,19145,91.665
2011-07-22,874,18872,91.77
2011-07-29,878,18901,92.19
2011-08-05,908,18153,95.34
2011-08-12,899,17582,94.395
2011-08-19,904,18243,94.92
2011-08-26,888,17893,93.24
2011-09-02,896,17082,94.08
2011-09-09,879,17156,92.295
2011-09-16,871,17088,91.455
2011-09-23,841,17358,88.305
2011-09-30,863,17342,90.615
2011-10-07,860,16875,90.3
2011-10-14,908,17053,95.34
2011-10-21,909,17291,95.445
2011-10-28,916,17200,96.18
2011-11-04,911,16430,95.655
2011-11-11,916,17111,96.18
2011-11-18,917,17451,96.285
2011-11-25,930,17046,97.65
2011-12-02,954,17934,100.17
2011-12-09,938,17058,98.49
2011-12-16,943,17663,99.015
2011-12-23,962,17674,101.01
2011-12-30,963,17945,101.115
2012-01-06,944,18773,99.12
2012-01-13,941,19535,98.805
2012-01-20,934,19805,98.07
2012-01-27,939,20591,98.595
2012-02-03,923,21063,96.915
2012-02-10,928,21493,97.44
2012-02-17,919,21540,96.495
2012-02-24,896,22002,94.08
2012-03-02,906,22070,95.13
2012-03-09,892,22043,93.66
2012-03-16,893,22713,93.765
2012-03-23,889,22628,93.345
2012-03-30,873,22553,91.665
2012-04-06,896,21772,94.08
2012-04-13,884,21968,92.82
2012-04-20,865,21852,90.825
2012-04-27,894,22222,93.87
2012-05-04,897,21374,94.185
2012-05-11,904,20630,94.92
2012-05-18,919,21398,96.495
2012-05-25,902,21508,94.71
2012-06-01,904,21188,94.92
2012-06-08,920,20666,96.6
2012-06-15,900,21185,94.5
2012-06-22,883,20757,92.715
2012-06-29,857,20293,89.985
2012-07-06,821,19532,86.205
2012-07-13,802,19556,84.21
2012-07-20,796,19005,83.58
2012-07-27,809,19401,84.945
2012-08-03,817,18651,85.785
2012-08-10,819,18447,85.995
2012-08-17,823,18493,86.415
2012-08-24,819,18494,85.995
2012-08-31,829,18732,87.045
2012-09-07,816,18953,85.68
2012-09-14,834,19325,87.57
2012-09-21,809,19259,84.945
2012-09-28,785,18808,82.425
2012-10-05,800,19256,84.0
2012-10-12,797,18989,83.685
2012-10-19,801,18766,84.105
2012-10-26,825,19215,86.625
2012-11-02,827,18136,86.835
2012-11-09,824,17851,86.52
2012-11-16,811,18927,85.155
2012-11-23,803,18347,84.315
2012-11-30,835,19341,87.675
2012-12-07,824,20028,86.52
2012-12-14,822,20838,86.31
2012-12-21,834,20315,87.57
2012-12-28,807,20213,84.735
2013-01-04,826,19854,86.73
2013-01-11,784,20361,82.32
2013-01-18,792,20083,83.16
2013-01-25,770,20540,80.85
2013-02-01,774,20098,81.27
2013-02-08,789,19500,82.845
2013-02-15,797,19495,83.685
2013-02-22,812,19374,85.26
2013-03-01,805,19351,84.525
2013-03-08,797,18688,83.685
2013-03-15,809,18465,84.945
2013-03-22,805,17441,84.525
2013-03-29,807,17481,84.735
2013-04-05,854,17788,89.67
2013-04-12,832,17507,87.36
2013-04-19,853,17592,89.565
2013-04-26,857,17036,89.985
2013-05-03,843,16847,88.515
2013-05-10,857,16429,89.985
2013-05-17,875,16182,91.875
2013-05-24,863,16047,90.615
2013-05-31,885,16411,92.925
2013-06-07,884,15992,92.82
2013-06-14,873,16450,91.665
2013-06-21,885,16293,92.925
2013-06-28,863,15445,90.615
2013-07-05,881,15719,92.505
2013-07-12,876,16578,91.98
2013-07-19,853,17257,89.565
2013-07-26,832,16453,87.36
2013-08-02,853,16716,89.565
2013-08-09,857,16425,89.985
2013-08-16,844,16482,88.62
2013-08-23,820,16250,86.1
2013-08-30,819,16216,85.995
2013-09-06,848,16269,89.04
2013-09-13,838,16178,87.99
2013-09-20,832,15613,87.36
2013-09-27,875,15509,91.875
2013-10-04,868,15390,91.14
2013-10-11,869,15419,91.245
2013-10-18,897,15499,94.185
2013-10-25,911,14961,95.655
2013-11-01,902,15165,94.71
2013-11-08,927,15153,97.335
2013-11-15,904,15083,94.92
2013-11-22,927,15022,97.335
2013-11-29,913,15124,95.865
2013-12-06,944,15448,99.12
2013-12-13,928,15625,97.44
2013-12-20,926,15660,97.23
2013-12-27,913,15582,95.865
2014-01-03,919,16138,96.495
2014-01-10,868,16078,91.14
2014-01-17,905,17018,95.025
2014-01-24,900,16932,94.5
2014-01-31,895,16739,93.975
2014-02-07,902,17062,94.71
2014-02-14,903,17203,94.815
2014-02-21,905,17024,95.025
2014-02-28,894,16611,93.87
2014-03-07,869,15908,91.245
2014-03-14,891,15277,93.555
2014-03-21,885,15653,92.925
2014-03-28,922,15875,96.81
2014-04-04,896,16407,94.08
2014-04-11,939,15952,98.595
2014-04-18,910,16518,95.55
2014-04-25,898,17212,94.29
2014-05-02,894,17140,93.87
2014-05-09,922,17302,96.81
2014-05-16,925,16990,97.125
2014-05-23,927,17489,97.335
2014-05-30,938,18250,98.49
2014-06-06,944,18422,99.12
2014-06-13,972,17850,102.06
2014-06-20,938,18183,98.49
2014-06-27,953,18204,100.065
2014-07-04,927,18286,97.335
2014-07-11,943,17945,99.015
2014-07-18,959,17940,100.695
2014-07-25,954,18587,100.17
2014-08-01,902,18260,94.71
2014-08-08,931,17760,97.755
2014-08-15,937,18251,98.385
2014-08-22,913,17317,95.865
2014-08-29,921,17673,96.705
2014-09-05,927,18021,97.335
2014-09-12,931,18805,97.755
2014-09-19,889,18592,93.345
2014-09-26,881,18828,92.505
2014-10-03,901,18651,94.605
2014-10-10,885,18356,92.925
2014-10-17,896,17940,94.08
2014-10-24,937,17039,98.385
2014-10-31,929,17169,97.545
2014-11-07,946,17705,99.33
2014-11-14,970,17335,101.85
2014-11-21,982,17072,103.11
2014-11-28,962,17289,101.01
2014-12-05,988,17750,103.74
2014-12-12,990,17659,103.95
2014-12-19,992,17615,104.16
2014-12-26,972,18094,102.06
2015-01-02,949,18845,99.645
2015-01-09,978,20229,102.69
2015-01-16,979,20387,102.795
2015-01-23,978,20631,102.69
2015-01-30,948,20986,99.54
2015-02-06,961,21135,100.905
2015-02-13,964,21084,101.22
2015-02-20,947,21594,99.435
2015-02-27,931,21528,97.755
2015-03-06,944,21173,99.12
2015-03-13,947,20820,99.435
2015-03-20,953,21317,100.065
2015-03-27,952,20547,99.96
2015-04-03,936,20483,98.28
2015-04-10,924,20645,97.02
2015-04-17,930,21342,97.65
2015-04-24,921,20797,96.705
2015-05-01,887,20762,93.135
2015-05-08,912,20299,95.76
2015-05-15,958,20434,100.59
2015-05-22,969,20097,101.745
2015-05-29,972,20068,102.06
2015-06-05,992,20246,104.16
2015-06-12,980,20718,102.9
2015-06-19,994,19840,104.37
2015-06-26,968,19532,101.64
2015-07-03,987,19841,103.635
2015-07-10,984,19740,103.32
2015-07-17,973,19559,102.165
2015-07-24,965,19648,101.325
2015-07-31,961,19239,100.905
2015-08-07,965,18529,101.325
2015-08-14,965,18561,101.325
2015-08-21,952,18628,99.96
2015-08-28,948,19002,99.54
2015-09-04,958,18642,100.59
2015-09-11,961,18291,100.905
2015-09-18,938,18900,98.49
2015-09-25,943,18782,99.015
2015-10-02,950,18812,99.75
2015-10-09,949,18956,99.645
2015-10-16,951,18872,99.855
2015-10-23,944,18273,99.12
2015-10-30,969,18774,101.745
2015-11-06,982,18854,103.11
2015-11-13,975,19249,102.375
2015-11-20,1008,19627,105.84
2015-11-27,956,19997,100.38
2015-12-04,993,19829,104.265
2015-12-11,1000,20322,105.0
2015-12-18,973,20387,102.165
2015-12-25,992,20166,104.16
2016-01-01,996,21099,104.58
2016-01-08,1003,21345,105.315
2016-01-15,983,21940,103.215
2016-01-22,961,21436,100.905
2016-01-29,959,22362,100.695
2016-02-05,969,22956,101.745
2016-02-12,975,23218,102.375
2016-02-19,994,23105,104.37
2016-02-26,987,22624,103.635
2016-03-04,978,23307,102.69
2016-03-11,999,22853,104.895
2016-03-18,995,22519,104.475
2016-03-25,992,23022,104.16
2016-04-01,976,22214,102.48
2016-04-08,938,22317,98.49
2016-04-15,939,22046,98.595
2016-04-22,927,21629,97.335
2016-04-29,923,22201,96.915
2016-05-06,962,21252,101.01
2016-05-13,948,21103,99.54
2016-05-20,946,20813,99.33
2016-05-27,960,20769,100.8
2016-06-03,1006,20225,105.63
2016-06-10,1013,21182,106.365
2016-06-17,962,21110,101.01
2016-06-24,1003,21167,105.315
2016-07-01,984,21557,103.32
2016-07-08,1004,21131,105.42
2016-07-15,1029,21157,108.045
2016-07-22,998,20390,104.79
2016-07-29,1004,20603,105.42
2016-08-05,1018,20460,106.89
2016-08-12,1029,20425,108.045
2016-08-19,1028,20817,107.94
2016-08-26,1023,20926,107.415
2016-09-02,998,20654,104.79
2016-09-09,1004,20207,105.42
2016-09-16,981,20016,103.005
2016-09-23,989,20578,103.845
2016-09-30,980,20177,102.9
2016-10-07,962,19393,101.01
2016-10-14,998,19042,104.79
2016-10-21,991,19919,104.055
2016-10-28,1022,19739,107.31
2016-11-04,1002,19229,105.21
2016-11-11,1017,18609,106.785
2016-11-18,1014,18952,106.47
2016-11-25,1012,18448,106.26
2016-12-02,1023,18530,107.415
2016-12-09,1040,19076,109.2
2016-12-16,1036,19060,108.78
2016-12-23,1028,18683,107.94
2016-12-30,1043,18678,109.515
2017-01-06,1049,20009,110.145
2017-01-13,1054,21115,110.67
2017-01-20,1051,21728,110.355
2017-01-27,1061,21870,111.405
2017-02-03,1055,22085,110.775
2017-02-10,1040,22500,109.2
2017-02-17,1034,22669,108.57
2017-02-24,1034,23091,108.57
2017-03-03,1022,22856,107.31
2017-03-10,1045,22766,109.725
2017-03-17,1044,22595,109.62
2017-03-24,1054,23257,110.67
2017-03-31,1019,23705,106.995
2017-04-07,986,22903,103.53
2017-04-14,993,23034,104.265
2017-04-21,987,23269,103.635
2017-04-28,986,23213,103.53
2017-05-05,1006,23055,105.63
2017-05-12,1027,23414,107.835
2017-05-19,1010,22684,106.05
2017-05-26,1020,22763,107.1
2017-06-02,999,21982,104.895
2017-06-09,1002,22542,105.21
2017-06-16,990,22280,103.95
2017-06-23,1015,21838,106.575
2017-06-30,1014,21571,106.47
2017-07-07,1007,21181,105.735
2017-07-14,1026,22137,107.73
2017-07-21,1012,21529,106.26
2017-07-28,1002,20852,105.21
2017-08-04,1012,21347,106.26
2017-08-11,1059,21828,111.195
2017-08-18,1052,21509,110.46
2017-08-25,1042,21303,109.41
2017-09-01,1060,21116,111.3
2017-09-08,1047,21132,109.935
2017-09-15,1033,21138,108.465
2017-09-22,996,20740,104.58
2017-09-29,1010,21545,106.05
2017-10-06,967,21523,101.535
2017-10-13,1019,21480,106.995
2017-10-20,1039,21034,109.095
2017-10-27,1056,21474,110.88
2017-11-03,1057,21345,110.985
2017-11-10,1054,21497,110.67
2017-11-17,1074,21897,112.77
2017-11-24,1066,22044,111.93
2017-12-01,1108,22544,116.34
2017-12-08,1089,22374,114.345
2017-12-15,1077,22320,113.085
2017-12-22,1090,22031,114.45
2017-12-29,1032,22619,108.36
2018-01-05,996,22719,104.58
2018-01-12,1061,22743,111.405
2018-01-19,1062,23800,111.51
2018-01-26,1040,23045,109.2
2018-02-02,1057,23489,110.985
2018-02-09,1016,22885,106.68
2018-02-16,1068,22753,112.14
2018-02-23,1044,22979,109.62
2018-03-02,1057,23144,110.985
2018-03-09,1025,24281,107.625
2018-03-16,1049,23758,110.145
2018-03-23,1039,22790,109.095
2018-03-30,1038,22425,108.99
2018-04-06,1034,21846,108.57
2018-04-13,1009,21344,105.945
2018-04-20,985,21701,103.425
2018-04-27,1032,22142,108.36
2018-05-04,1040,21964,109.2
2018-05-11,1058,21505,111.09
2018-05-18,1028,22129,107.94
2018-05-25,1041,21263,109.305
2018-06-01,1041,21897,109.305
2018-06-08,1053,22174,110.565
2018-06-15,1064,21647,111.72
2018-06-22,1072,21674,112.56
2018-06-29,1067,21975,112.035
2018-07-06,1033,22393,108.465
2018-07-13,1064,21768,111.72
2018-07-20,1074,21653,112.77
2018-07-27,1064,21967,111.72
2018-08-03,1100,22923,115.5
2018-08-10,1072,23017,112.56
2018-08-17,1073,23259,112.665
2018-08-24,1070,23061,112.35
2018-08-31,1087,22703,114.135
2018-09-07,1020,22894,107.1
2018-09-14,1051,22746,110.355
2018-09-21,1036,22629,108.78
2018-09-28,1015,23445,106.575
2018-10-05,1040,24021,109.2
2018-10-12,1011,24130,106.155
2018-10-19,1024,23897,107.52
2018-10-26,1059,22746,111.195
2018-11-02,1068,23150,112.14
2018-11-09,1067,23514,112.035
2018-11-16,1042,22791,109.41
2018-11-23,1048,22930,110.04
2018-11-30,1069,23030,112.245
2018-12-07,1046,22890,109.83
2018-12-14,1046,23873,109.83
2018-12-21,1042,23133,109.41
2018-12-28,1011,23162,106.155
2019-01-04,1000,23254,105.0
2019-01-11,1051,23351,110.355
2019-01-18,1031,23501,108.255
2019-01-25,1012,23980,106.26
2019-02-01,967,23947,101.535
2019-02-08,1029,23466,108.045
2019-02-15,996,23913,104.58
2019-02-22,1028,23709,107.94
2019-03-01,1024,24261,107.52
2019-03-08,1005,23731,105.525
2019-03-15,1004,24412,105.42
2019-03-22,975,24448,102.375
2019-03-29,999,23992,104.895
2019-04-05,1002,23193,105.21
2019-04-12,1016,22676,106.68
2019-04-19,1048,22747,110.04
2019-04-26,1024,22695,107.52
2019-05-03,1036,22468,108.78
2019-05-10,1051,22250,110.355
2019-05-17,1071,23404,112.455
2019-05-24,1057,22624,110.985
2019-05-31,1044,22553,109.62
2019-06-07,1096,21802,115.08
2019-06-14,1081,21613,113.505
2019-06-21,1072,21567,112.56
2019-06-28,1081,22844,113.505
2019-07-05,1047,23009,109.935
2019-07-12,1066,23365,111.93
2019-07-19,1039,23689,109.095
2019-07-26,1031,24468,108.255
2019-08-02,1040,23117,109.2
2019-08-09,1045,23883,109.725
2019-08-16,1023,23367,107.415
2019-08-23,1038,22982,108.99
2019-08-30,1013,23801,106.365
2019-09-06,1023,22499,107.415
2019-09-13,1003,23238,105.315
2019-09-20,943,22500,99.015
2019-09-27,958,23219,100.59
2019-10-04,963,21224,101.115
2019-10-11,971,22061,101.955
2019-10-18,996,21364,104.58
2019-10-25,1004,21099,105.42
2019-11-01,1014,21874,106.47
2019-11-08,1030,20985,108.15
2019-11-15,1033,20514,108.465
2019-11-22,1059,20277,111.195
2019-11-29,1060,20639,111.3
2019-12-06,1072,21815,112.56
2019-12-13,1064,21798,111.72
2019-12-20,1083,21469,113.715
2019-12-27,1066,21034,111.93
2020-01-03,1062,22462,111.51
2020-01-10,1095,23006,114.975
2020-01-17,1049,24031,110.145
2020-01-24,1029,24244,108.045
2020-01-31,1081,23474,113.505
2020-02-07,1033,24358,108.465
2020-02-14,1040,24781,109.2
2020-02-21,1054,24718,110.67
2020-02-28,1079,24964,113.295
2020-03-06,1044,24334,109.62
2020-03-13,1035,24598,108.675
2020-03-20,1005,24140,105.525
2020-03-27,840,25717,88.2
2020-04-03,672,27091,70.56
2020-04-10,570,27469,59.85000000000001
2020-04-17,563,27689,59.11500000000001
2020-04-24,537,26337,56.385
2020-05-01,598,25612,62.790000000000006
2020-05-08,617,24190,64.78500000000001
2020-05-15,663,23626,69.615
2020-05-22,724,23176,76.02
2020-05-29,765,22476,80.325
2020-06-05,837,21802,87.885
2020-06-12,841,21346,88.305
2020-06-19,893,21034,93.765
2020-06-26,900,20164,94.5
2020-07-03,914,20620,95.97
2020-07-10,931,20608,97.755
2020-07-17,908,19801,95.34
2020-07-24,958,20272,100.59
2020-07-31,931,20346,97.755
2020-08-07,918,19750,96.39
2020-08-14,926,20270,97.23
2020-08-21,931,20409,97.755
2020-08-28,922,20882,96.81
2020-09-04,941,19993,98.805
2020-09-11,926,19798,97.23
2020-09-18,906,19997,95.13
2020-09-25,881,19691,92.505
2020-10-02,923,19672,96.915
2020-10-09,937,20008,98.385
2020-10-16,913,19721,95.865
2020-10-23,941,19601,98.805
2020-10-30,961,19675,100.905
2020-11-06,977,20159,102.585
2020-11-13,962,20203,101.01
2020-11-20,990,20866,103.95
2020-11-27,974,21240,102.27
2020-12-04,991,22083,104.055
2020-12-11,957,22950,100.485
2020-12-18,976,23169,102.48
2020-12-25,934,23504,98.07
2021-01-01,935,23284,98.175
2021-01-08,941,23692,98.805
2021-01-15,945,23628,99.225
2021-01-22,933,23602,97.965
2021-01-29,936,24316,98.28
2021-02-05,937,23796,98.385
2021-02-12,911,24297,95.655
2021-02-19,658,22785,69.09
2021-02-26,849,22425,89.145
2021-03-05,938,22070,98.49
2021-03-12,971,21340,101.955
2021-03-19,922,21809,96.81
2021-03-26,965,21114,101.325
2021-04-02,975,20642,102.375
2021-04-09,941,20518,98.805
2021-04-16,941,20447,98.805
2021-04-23,945,19736,99.225
2021-04-30,952,20440,99.96
2021-05-07,979,19393,102.795
2021-05-14,1032,19433,108.36
2021-05-21,1011,18980,106.155
2021-05-28,1034,19588,108.57
2021-06-04,1067,19960,112.035
2021-06-11,1025,20602,107.625
2021-06-18,1048,21120,110.04
2021-06-25,1058,21572,111.09
2021-07-02,1067,21149,112.035
2021-07-09,1041,21134,109.305
2021-07-16,1028,22518,107.94
2021-07-23,1014,22733,106.47
2021-07-30,1013,22649,106.365
2021-08-06,986,22276,103.53
2021-08-13,973,21558,102.165
2021-08-20,933,21223,97.965
2021-08-27,905,21110,95.025
2021-09-03,923,20390,96.915
2021-09-10,937,20010,98.385
2021-09-17,926,20111,97.23
2021-09-24,914,20220,95.97
2021-10-01,978,19931,102.69
2021-10-08,1032,19847,108.36
2021-10-15,1096,20080,115.08
2021-10-22,1106,19925,116.13
2021-10-29,1107,20129,116.235
2021-11-05,1039,20286,109.095
2021-11-12,1060,20081,111.3
2021-11-19,1079,20164,113.295
2021-11-26,1035,20301,108.675
2021-12-03,1090,20464,114.45
2021-12-10,1087,20883,114.135
2021-12-17,1051,20705,110.355
2021-12-24,1059,20676,111.195
2021-12-31,1048,21359,110.04
2022-01-07,1006,22911,105.63
2022-01-14,1053,23592,110.565
2022-01-21,1035,24476,108.675
2022-01-28,1041,25854,109.305
2022-02-04,994,24799,104.37
2022-02-11,1009,25483,105.945
2022-02-18,1024,25507,107.52
2022-02-25,997,24933,104.685
2022-03-04,1028,25271,107.94
2022-03-11,1026,25945,107.73
2022-03-18,1042,26148,109.41
2022-03-25,1036,26529,108.78
2022-04-01,1003,25903,105.315
2022-04-08,995,24803,104.475
2022-04-15,947,24342,99.435
2022-04-22,963,23965,101.115
2022-04-29,969,23887,101.745
2022-05-06,991,24140,104.055
2022-05-13,991,23791,104.055
2022-05-20,1014,23712,106.47
2022-05-27,1071,22961,112.455
2022-06-03,1039,23636,109.095
2022-06-10,1060,23197,111.3
2022-06-17,1055,23476,110.775
2022-06-24,1051,22746,110.355
2022-07-01,1044,23490,109.62
2022-07-08,1005,23606,105.525
2022-07-15,1034,23553,108.57
2022-07-22,1021,23328,107.205
2022-07-29,1043,23394,109.515
2022-08-05,1022,23256,107.31
2022-08-12,983,23446,103.215
2022-08-19,987,23807,103.635
2022-08-26,970,23533,101.85
2022-09-02,989,23138,103.845
2022-09-09,963,22843,101.115
2022-09-16,901,22501,94.605
2022-09-23,855,22691,89.775
2022-09-30,889,21685,93.345
2022-10-07,932,21863,97.86
2022-10-14,1016,21844,106.68
2022-10-21,1033,22291,108.465
2022-10-28,1040,22232,109.2
2022-11-04,1051,22192,110.355
2022-11-11,1011,21298,106.155
2022-11-18,1041,22829,109.305
2022-11-25,1018,22934,106.89
2022-12-02,1077,23257,113.085
2022-12-09,1061,24409,111.405
2022-12-16,1029,24067,108.045
2022-12-23,963,24636,101.115
2022-12-30,844,24444,88.62
2023-01-06,943,23800,99.015
2023-01-13,1008,23402,105.84
2023-01-20,1012,25077,106.26
2023-01-27,1028,24442,107.94
2023-02-03,1000,24417,105.0
2023-02-10,1014,25339,106.47
2023-02-17,1029,25588,108.045
2023-02-24,1003,24775,105.315
2023-03-03,1010,25320,106.05
2023-03-10,1014,26394,106.47
2023-03-17,997,26188,104.685
2023-03-24,1003,25527,105.315
2023-03-31,1003,25136,105.315
2023-04-07,959,25128,100.695
2023-04-14,1024,25293,107.52
2023-04-21,967,24306,101.535
2023-04-28,976,23363,102.48
2023-05-05,965,23291,101.325
2023-05-12,987,23191,103.635
2023-05-19,983,22041,103.215
2023-05-26,1004,22332,105.42
2023-06-02,1036,22948,108.78
2023-06-09,1018,22226,106.89
2023-06-16,1052,22804,110.46
2023-06-23,1052,22979,110.46
2023-06-30,1060,22260,111.3
2023-07-07,1032,22658,108.36
2023-07-14,1070,23166,112.35
2023-07-21,1094,23228,114.87
2023-07-28,1067,22860,112.035
2023-08-04,1023,22880,107.415
2023-08-11,1069,23435,112.245
2023-08-18,1048,22790,110.04
2023-08-25,1007,21609,105.735
2023-09-01,1012,21621,106.26
2023-09-08,1039,21171,109.095
2023-09-15,980,21681,102.9
2023-09-22,1009,22048,105.945
2023-09-29,1009,21884,105.945
2023-10-06,1004,21526,105.42
2023-10-13,1035,21112,108.675
2023-10-20,1040,21398,109.2
2023-10-27,1052,21012,110.46
2023-11-03,1042,20989,109.41
2023-11-10,1047,20954,109.935
2023-11-17,1023,21652,107.415
2023-11-24,1011,21379,106.155
2023-12-01,1076,21439,112.98
2023-12-08,1074,22100,112.77
2023-12-15,1071,22906,112.455
2023-12-22,1107,23517,116.235
2023-12-29,1049,23579,110.145
2024-01-05,1062,24371,111.51
2024-01-12,1054,25695,110.67
2024-01-19,818,25815,85.89
2024-01-26,991,24270,104.055
2024-02-02,1033,24779,108.465
2024-02-09,1083,25810,113.715
2024-02-16,1084,25502,113.82
2024-02-23,1078,26022,113.19
2024-03-01,1057,26051,110.985
2024-03-08,1024,25782,107.52
2024-03-15,1046,26009,109.83
2024-03-22,1054,26092,110.67
2024-03-29,1073,26416,112.665
2024-04-05,1056,26208,110.88
2024-04-12,983,26080,103.215
2024-04-19,954,25733,100.17
2024-04-26,987,25488,103.635
2024-05-03,965,24200,101.325
2024-05-10,1000,24489,105.0
2024-05-17,1019,24212,106.995
2024-05-24,1068,23207,112.14
2024-05-31,1072,23052,112.56
2024-06-07,1023,23222,107.415
2024-06-14,1057,23617,110.985
2024-06-21,1043,23423,109.515
2024-06-28,1064,23594,111.72
2024-07-05,1054,23603,110.67
2024-07-12,1106,23160,116.13
2024-07-19,1095,23723,114.975
2024-07-26,1109,23973,116.445
2024-08-02,1067,23767,112.035
2024-08-09,1072,23354,112.56
2024-08-16,1098,23574,115.29
2024-08-23,1071,23572,112.455
2024-08-30,1061,23354,111.405
2024-09-06,1080,23714,113.4
2024-09-13,1049,23785,110.145
2024-09-20,994,23524,104.37
2024-09-27,1015,23459,106.575
2024-10-04,1038,22154,108.99
2024-10-11,1042,22275,109.41
2024-10-18,1081,22223,113.505
2024-10-25,1082,21771,113.61
2024-11-01,1105,22020,116.025
2024-11-08,1113,22039,116.865
2024-11-15,1110,22563,116.55
2024-11-22,1119,22869,117.49500000000002
2024-11-29,1073,23003,112.665
2024-12-06,1078,22648,113.19
2024-12-13,1103,22636,115.815
2024-12-20,1107,23074,116.235
2024-12-27,1111,23639,116.655
2025-01-03,1102,24148,115.71
2025-01-10,1095,25008,114.975
2025-01-17,1099,25874,115.395
2025-01-24,1015,25722,106.575
2025-01-31,1112,26412,116.76
2025-02-07,1082,25692,113.61
2025-02-14,1084,26218,113.82
2025-02-21,1081,27571,113.505
2025-02-28,1093,27289,114.765
2025-03-07,1062,27376,111.51
2025-03-14,1105,26575,116.025
2025-03-21,1053,27350,110.565
2025-03-28,1063,26612,111.615
2025-04-04,1021,27034,107.205
2025-04-11,1012,26814,106.26
2025-04-18,1033,25481,108.465
2025-04-25,1040,25389,109.2
2025-05-02,1020,25191,107.1
2025-05-09,993,25445,104.265
2025-05-16,1036,24944,108.78
2025-05-23,1056,24281,110.88
2025-05-30,1105,24440,116.025
2025-06-06,1120,23734,117.60000000000001
2025-06-13,1109,24120,116.445
2025-06-20,1081,24404,113.505
2025-06-27,1076,24117,112.98
2025-07-04,1085,23959,113.925
2025-07-11,1087,23635,114.135
2025-07-18,1078,24444,113.19
2025-07-25,1096,24716,115.08
2025-08-01,1081,23756,113.505
2025-08-08,1093,22649,114.765
2025-08-15,1072,22688,112.56
2025-08-22,1070,22549,112.35
2025-08-29,1075,22564,112.875
2025-09-05,1105,22837,116.025
2025-09-12,1055,22602,110.775
2025-09-19,1024,23468,107.52
2025-09-26,995,22764,104.475
2025-10-03,1071,22720,112.455
2025-10-10,1074,22628,112.77
2025-10-17,1112,21919,116.76
2025-10-24,1091,22367,114.555
2025-10-31,1123,22655,117.91500000000002
2025-11-07,1075,22219,112.875
2025-11-14,1091,22307,114.555
2025-11-21,1113,21968,116.865
2025-11-28,1126,22511,118.23000000000002
2025-12-05,1105,22510,116.025
2025-12-12,1131,22353,118.75500000000001
2025-12-19,1095,22528,114.975
2025-12-26,1120,22944,117.60000000000001
2026-01-02,1098,23652,115.29
2026-01-09,1196,24473,125.58000000000001
2026-01-16,1119,25739,117.49500000000002
2026-01-23,1114,25400,116.97
2026-01-30,956,25136,100.38
2026-02-06,1110,25247,116.55
2026-02-13,1118,25588,117.39
2026-02-20,1113,25646,116.865
2026-02-27,1095,26337,114.975
2026-03-06,1126,25580,118.23000000000002
2026-03-13,1093,26407,114.765
2026-03-20,1116,27170,117.18
2026-03-27,1075,25991,112.875
2026-04-03,1116,26053,117.18
2026-04-10,1120,26699,117.60000000000001
2026-04-17,1040,26948,109.2
2026-04-24,1009,25881,105.945
2026-05-01,1017,26020,106.785
2026-05-08,1082,24870,113.61
2026-05-15,1111,24875,116.655
2026-05-22,1089,24968,114.345
2026-05-29,1108,24606,116.34
2026-06-05,1108,24452,116.34
